Epoch,GPU_mem,box_loss,cls_loss,dfl_loss,Instances,Size,P,R,mAP50,mAP50-95
1,2.11,1.812,2.544,1.382,10,640,0.674,0.537,0.592,0.267
2,2.57,1.901,1.75,1.47,19,640,0.618,0.51,0.535,0.243
3,2.61,1.899,1.583,1.486,15,640,0.656,0.57,0.589,0.246
4,2.61,1.844,1.491,1.461,21,640,0.727,0.637,0.689,0.336
5,2.64,1.824,1.402,1.436,8,640,0.761,0.679,0.74,0.36
6,2.65,1.768,1.314,1.407,13,640,0.843,0.725,0.802,0.405
7,2.67,1.734,1.276,1.401,16,640,0.84,0.724,0.816,0.435
8,2.68,1.692,1.222,1.361,22,640,0.84,0.727,0.813,0.447
9,2.71,1.667,1.178,1.344,13,640,0.849,0.729,0.808,0.434
10,2.72,1.674,1.159,1.335,16,640,0.853,0.77,0.837,0.47
11,2.74,1.647,1.14,1.324,19,640,0.862,0.771,0.843,0.478
12,2.75,1.624,1.129,1.308,13,640,0.88,0.761,0.85,0.47
13,2.77,1.618,1.095,1.309,20,640,0.885,0.771,0.858,0.481
14,2.79,1.577,1.072,1.279,17,640,0.899,0.79,0.868,0.489
15,2.81,1.561,1.047,1.286,11,640,0.927,0.796,0.88,0.497
16,2.82,1.573,1.056,1.282,13,640,0.891,0.792,0.871,0.504
17,2.84,1.542,1.04,1.262,21,640,0.897,0.776,0.863,0.507
18,2.86,1.521,1.002,1.253,15,640,0.9,0.779,0.871,0.525
19,2.88,1.509,0.9782,1.239,17,640,0.898,0.776,0.866,0.497
20,2.88,1.495,0.9615,1.235,16,640,0.918,0.808,0.891,0.535
21,2.91,1.494,0.9589,1.232,18,640,0.921,0.828,0.9,0.529
22,2.93,1.491,0.9434,1.236,26,640,0.911,0.812,0.889,0.528
23,2.94,1.47,0.9353,1.225,12,640,0.902,0.818,0.888,0.538
24,2.95,1.442,0.924,1.22,17,640,0.919,0.817,0.897,0.547
25,2.98,1.459,0.9242,1.216,27,640,0.926,0.833,0.907,0.557
26,2.99,1.448,0.8996,1.206,20,640,0.917,0.833,0.91,0.564
27,3.01,1.418,0.8604,1.194,21,640,0.918,0.839,0.911,0.561
28,3.02,1.41,0.8743,1.186,14,640,0.922,0.844,0.91,0.571
29,3.04,1.401,0.8631,1.19,13,640,0.932,0.843,0.914,0.571
30,3.07,1.383,0.8442,1.183,18,640,0.925,0.848,0.914,0.573
31,3.08,1.388,0.8269,1.177,13,640,0.93,0.85,0.919,0.571
32,3.09,1.383,0.8263,1.163,16,640,0.943,0.837,0.916,0.575
33,3.12,1.358,0.806,1.162,10,640,0.929,0.865,0.92,0.58
34,3.13,1.338,0.7964,1.156,11,640,0.945,0.862,0.923,0.586
35,3.15,1.346,0.7997,1.155,11,640,0.943,0.862,0.925,0.593
36,3.15,1.322,0.7726,1.138,16,640,0.941,0.87,0.925,0.595
37,3.18,1.326,0.7753,1.139,19,640,0.933,0.871,0.924,0.589
38,3.2,1.3,0.7626,1.134,19,640,0.942,0.877,0.925,0.603
39,3.22,1.292,0.7355,1.13,7,640,0.946,0.878,0.929,0.597
40,3.23,1.289,0.7534,1.122,13,640,0.928,0.876,0.929,0.605
41,3.25,1.24,0.698,1.12,7,640,0.95,0.869,0.928,0.599
42,3.27,1.223,0.6769,1.12,7,640,0.948,0.871,0.93,0.61
43,3.29,1.215,0.6672,1.114,7,640,0.949,0.869,0.934,0.609
44,3.29,1.2,0.6692,1.115,17,640,0.947,0.874,0.927,0.609
45,3.32,1.19,0.6433,1.104,12,640,0.952,0.88,0.931,0.617
46,3.34,1.18,0.6447,1.095,8,640,0.948,0.889,0.933,0.615
47,3.35,1.174,0.6245,1.094,8,640,0.956,0.882,0.937,0.62
48,3.36,1.149,0.6223,1.09,7,640,0.954,0.885,0.938,0.626
49,3.39,1.153,0.6226,1.085,10,640,0.956,0.885,0.938,0.625
50,3.4,1.127,0.5954,1.069,13,640,0.956,0.878,0.938,0.627